********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           757    -316.7E-03         7.648
           758    -155.7E-03         7.844
           759    -184.6E-36            8.
           760    -303.7E-36     44.25E-36
           761    -213.8E-03     185.8E-03
           762    -418.4E-03     392.8E-03
           763    -606.1E-03     606.7E-03
           764    -772.5E-03     826.3E-03
           765    -921.5E-03         1.054
           766        -1.055         1.290
           767        -1.174         1.535
           768        -1.279         1.787
           769        -1.371         2.047
           770        -1.451         2.313
           771        -1.518         2.585
           772        -1.572         2.862
           773        -1.615         3.143
           774        -1.645         3.427
           775        -1.663         3.713
           776        -1.669            4.
           777        -1.663         4.287
           778        -1.645         4.573
           779        -1.615         4.857
           780        -1.572         5.138
           781        -1.518         5.415
           782        -1.451         5.687
           783        -1.371         5.953
           784        -1.279         6.213
           785        -1.174         6.465
           786        -1.055         6.710
           787    -921.5E-03         6.946
           788    -772.5E-03         7.174
           789    -606.1E-03         7.393
           790    -418.4E-03         7.607
           791    -213.8E-03         7.814
           792    -303.7E-36            8.
           793            0.           -0.
           794    -348.7E-03     246.4E-03
           795    -584.7E-03     453.8E-03
           796    -788.6E-03     661.3E-03
           797    -968.8E-03     875.0E-03
           798        -1.129         1.098
           799        -1.273         1.329
           800        -1.402         1.570
           801        -1.515         1.818
           802        -1.615         2.074
           803        -1.701         2.336
           804        -1.774         2.604
           805        -1.833         2.877
           806        -1.879         3.155
           807        -1.912         3.435
           808        -1.931         3.717
           809        -1.938            4.
           810        -1.931         4.283
           811        -1.912         4.565
           812        -1.879         4.845
           813        -1.833         5.123
           814        -1.774         5.396
           815        -1.701         5.664
           816        -1.615         5.926
           817        -1.515         6.182
           818        -1.402         6.430
           819        -1.273         6.671
           820        -1.129         6.902
           821    -968.8E-03         7.125
           822    -788.6E-03         7.339
           823    -584.7E-03         7.546
           824    -348.7E-03         7.754
           825            0.            8.
           826     189.4E-03     133.1E-03
           827     259.2E-03     207.5E-03
           828     101.9E-03     81.61E-03
           829            0.           -0.
           830     474.0E-03     353.0E-03
           831     492.8E-03     423.0E-03
           832     317.8E-03     288.0E-03
           833     690.1E-03     556.9E-03
           834     690.6E-03     632.9E-03
           835     515.2E-03     499.2E-03
           836     881.5E-03     767.1E-03
           837     865.2E-03     850.1E-03
           838     691.6E-03     715.6E-03
           839         1.051     985.3E-03
           840         1.021         1.075
           841     849.1E-03     939.1E-03
           842         1.203         1.212
           843         1.160         1.309
           844     990.1E-03         1.171
           845         1.339         1.448
           846         1.284         1.552
           847         1.116         1.411
           848         1.460         1.693
           849         1.393         1.802
           850         1.228         1.660
           851         1.567         1.945
           852         1.489         2.060
           853         1.327         1.916
           854         1.660         2.204
           855         1.572         2.324
           856         1.413         2.179
           857         1.739         2.469
           858         1.642         2.595
           859         1.486         2.449
           860         1.805         2.740
           861         1.699         2.870
           862         1.546         2.723
           863         1.857         3.016
           864         1.743         3.149
           865         1.595         3.002
           866         1.897         3.294
           867         1.775         3.431
           868         1.631         3.285
           869         1.923         3.576
           870         1.794         3.715
           871         1.656         3.570
           872         1.936         3.858
           873         1.800            4.
           874         1.668         3.856
           875         1.936         4.142
           876         1.794         4.285
           877         1.668         4.144
           878         1.923         4.424
           879         1.775         4.569
           880         1.656         4.430
           881         1.897         4.706
           882         1.743         4.851
           883         1.631         4.715
           884         1.857         4.984
           885         1.699         5.130
           886         1.595         4.998
           887         1.805         5.260
           888         1.642         5.405
           889         1.546         5.277
           890         1.739         5.531
